district,hotel,type
Batu Pahat,162093,
Johor Bahru,1808,
Kluang,106063,
Kota Tinggi,162112,
Mersing,106026,
Muar,106028,
Pontian,211697,
Segamat,162117,
Bandar Baharu,207794,
Kuala Muda,16928,area
Kulim,162149,
Sik,211890,
Pendang,106031,area
Pokok Sena,211693,
Bachok,211364,area
Machang,162385,
Pasir Mas,211639,
Pasir Puteh,162436,
Tanah Merah,162160,
Gua Musang,105937,
Kuala Krai,211402,
Jeli,208276,area
Kuala Lumpur,14524,
Labuan,14242,
Alor Gajah,15121,area
Jelebu,209558,
Kuala Pilah,162267,
Port Dickson,8422,
Rembau,211732,
Seremban,106017,
Tampin,162224,
Jempol,162231,
Bentong,512864,
Cameron Highlands,1399,
Jerantut,162280,
Kuantan,3241,
Lipis,211407,
Pekan,211646,
Raub,211731,
Temerloh,212177,
Rompin,106014,
Maran,211544,
Manjung,718048,
Kerian,211421,
Kuala Kangsar,162339,
Kampar,162311,
Seberang Perai Tengah,16087,area
Beaufort,162402,
Beluran,207861,
Keningau,5070,area
Kinabatangan,211366,
Kota Belud,211363,
Kota Marudu,211368,
Kuala Penyu,211412,
Kudat,162414,
Kunak,211427,
Lahad Datu,105650,
Nabawan,211581,
Pitas,211692,
Ranau,211727,
Sandakan,106018,
Semporna,106021,
Sipitang,211914,
Tawau,106025,
Tenom,212181,
Tongod,212192,
Kuching,14523,
Lundu,211529,
Serian,211880,
Simunjan,211908,
Sri Aman,211920,
Lubok Antu,211522,
Betong,207874,
Saratok,211842,
Sarikei,162439,
Maradong,211542,
Daro,208214,
Julau,208291,
Sibu,105987,
Dalat,208207,
Mukah,211578,
Kanowit,211314,
Bintulu,105619,
Tatau,212164,
Kapit,211316,
Song,211918,
Belaga,207855,
Miri,1102,
Marudi,211545,
Limbang,162433,
Lawas,211447,
Matu,211553,
Asajaya,207752,
Pakan,211621,
Klang,105971,
Kuala Selangor,17341,
Sabak Bernam,211836,
Besut,513165,
Dungun,106033,
Kemaman,162502,
Kuala Terengganu,15780,
Setiu,106034,area
