district,total_hotel
Batu Pahat,64
Johor Bahru,1000
Kluang,35
Kota Tinggi,8
Mersing,23
Muar,48
Pontian,18
Segamat,18
Bandar Baharu,0
Kuala Muda,22
Kulim,12
Sik,0
Pendang,17
Pokok Sena,1
Bachok,17
Machang,0
Pasir Mas,4
Pasir Puteh,0
Tanah Merah,23
Gua Musang,28
Kuala Krai,3
Jeli,17
Kuala Lumpur,2733
Labuan,24
Alor Gajah,17
Jelebu,0
Kuala Pilah,9
Port Dickson,362
Rembau,2
Seremban,71
Tampin,8
Jempol,0
Bentong,55
Cameron Highlands,455
Jerantut,21
Kuantan,296
Lipis,8
Pekan,15
Raub,21
Temerloh,21
Rompin,19
Maran,24
Manjung,29
Kerian,0
Kuala Kangsar,23
Kampar,49
Seberang Perai Tengah,17
Beaufort,4
Beluran,0
Keningau,42
Kinabatangan,0
Kota Belud,21
Kota Marudu,0
Kuala Penyu,1
Kudat,17
Kunak,1
Lahad Datu,15
Nabawan,0
Pitas,0
Ranau,1
Sandakan,42
Semporna,87
Sipitang,3
Tawau,30
Tenom,0
Tongod,0
Kuching,223
Lundu,1
Serian,0
Simunjan,0
Sri Aman,7
Lubok Antu,0
Betong,0
Saratok,0
Sarikei,7
Maradong,0
Daro,0
Julau,0
Sibu,67
Dalat,0
Mukah,4
Kanowit,2
Bintulu,43
Tatau,0
Kapit,2
Song,0
Belaga,0
Miri,104
Marudi,0
Limbang,2
Lawas,1
Matu,0
Asajaya,0
Pakan,0
Klang,84
Kuala Selangor,43
Sabak Bernam,75
Besut,30
Dungun,36
Kemaman,1
Kuala Terengganu,175
Setiu,17
